"@appsterdamrs,@hernanpmakinganannouncementabout#Code4EUat#AppsterdamDelfthttp://tco/oh5SE1zO,Fri,16Nov201219:51:28+0000,https://twittercom/appsterdamrs/status/269528132107788288"
"@appsterdamrs,Now@ZlatanMenkovictellingthestoryofTheEntrepreneurat#AppsterdamDelfthttp://tco/F5U0mtS3,Fri,16Nov201219:09:43+0000,https://twittercom/appsterdamrs/status/269517623937622016"
"@rogier,RT@NurayG:Fellowsappdevelopers&amp;conceptdesignerswantedforCityofAmsterdam!http://tco/OJkjktnw@code4europe@waag@appsterdam@oif2012,Fri,16Nov201219:04:51+0000,https://twittercom/rogier/status/269516400803065856"
"@DelftRT,RT@appsterdamrsPaulBakkerkickingofftheInvestorseventin#AppsterdamDelfthttp://tco/k1M9YDBb,Fri,16Nov201218:40:36+0000,https://twittercom/DelftRT/status/269510294580129792"
"@appsterdamrs,PaulBakkerkickingofftheInvestorseventin#AppsterdamDelfthttp://tco/9F76njrF,Fri,16Nov201218:37:52+0000,https://twittercom/appsterdamrs/status/269509609633480704"
"@appsterdamchi,HowcanyoustayinthedataloopwithyourlocalAppsterdamembassy?Hereshow:http://tco/vgTVAvOr,Fri,16Nov201217:24:49+0000,https://twittercom/appsterdamchi/status/269491225457983488"
"@appsterdamchi,Finetuneyourappideawiththese11tipshttp://tco/QmkN8tts#appsterdam#articlehttp://tco/LXXFTANz,Fri,16Nov201217:12:21+0000,https://twittercom/appsterdamchi/status/269488087963406336"
"@bmf,RT@appsterdam:TheresstilltimetoRSVPfortonightsInvestorseventinDelftDoitnow!http://tco/cy3BLLDX,Fri,16Nov201216:07:42+0000,https://twittercom/bmf/status/269471816857305089"
"@bmf,RT@pauldarcey:AmsterdamAppLabsbyMicrosoft-technicalguidance&amp;assistancetogetyrapplaunchedinWindowsStorehttps://tco/PQ62Pm1u#appsterdam,Fri,16Nov201216:07:27+0000,https://twittercom/bmf/status/269471755708534785"
"@bmf,RT@NurayG:Fellowsappdevelopers&amp;conceptdesignerswantedforCityofAmsterdam!http://tco/OJkjktnw@code4europe@waag@appsterdam@oif2012,Fri,16Nov201216:07:18+0000,https://twittercom/bmf/status/269471716294680576"
"@appsterdamrs,RT@Samantha_Hosea:Whosgoingtothe@appsterdamrs#delftmeetuptonight?Allabout#investorsandwhattheywanttoknowhttp://tco/klJeCY2b,Fri,16Nov201216:03:19+0000,https://twittercom/appsterdamrs/status/269470714149629952"
"@Samantha_Hosea,Whosgoingtothe@appsterdamrs#delftmeetuptonight?Allabout#investorsandwhattheywanttoknowhttp://tco/klJeCY2b,Fri,16Nov201216:01:07+0000,https://twittercom/Samantha_Hosea/status/269470159599718400"
"@appsterdamrs,RT@appsterdamchi:Finetuneyourappideawiththese11tipshttp://tco/QmkN8tts#appsterdam#article,Fri,16Nov201215:39:13+0000,https://twittercom/appsterdamrs/status/269464647407644674"
"@appsterdamchi,Finetuneyourappideawiththese11tipshttp://tco/QmkN8tts#appsterdam#article,Fri,16Nov201215:34:10+0000,https://twittercom/appsterdamchi/status/269463376915230720"
"@albert_domingo,RT@olmageddon:Code4EU|CallforFellowshttp://tco/5dQD2V8lApplytill25thNovember!//@katalinG@NurayG@hernanp@appsterdamrs@waag,Fri,16Nov201215:19:16+0000,https://twittercom/albert_domingo/status/269459630629994496"
"@katalinG,RT@olmageddon:Code4EU|CallforFellowshttp://tco/5dQD2V8lApplytill25thNovember!//@katalinG@NurayG@hernanp@appsterdamrs@waag,Fri,16Nov201215:18:01+0000,https://twittercom/katalinG/status/269459313255403520"
"@aaceetje,RT@NurayG:Fellowsappdevelopers&amp;conceptdesignerswantedforCityofAmsterdam!http://tco/OJkjktnw@code4europe@waag@appsterdam@oif2012,Fri,16Nov201214:00:22+0000,https://twittercom/aaceetje/status/269439772068564993"
"@ingozelen,RT@appsterdam:TheresstilltimetoRSVPfortonightsInvestorseventinDelftDoitnow!http://tco/cy3BLLDX,Fri,16Nov201213:49:03+0000,https://twittercom/ingozelen/status/269436923460866050"
